Datetime,event,link,note,photo,status,video
2015-01-31,0.0,9308.0,0.0,1397.0,45.0,272.0
2015-02-28,0.0,9068.0,0.0,1382.0,47.0,330.0
2015-03-31,0.0,10661.0,0.0,1451.0,36.0,445.0
2015-04-30,0.0,10845.0,0.0,1312.0,41.0,538.0
2015-05-31,0.0,11339.0,0.0,1386.0,40.0,639.0
2015-06-30,0.0,11285.0,0.0,1248.0,33.0,646.0
2015-07-31,1.0,12001.0,0.0,1113.0,28.0,713.0
2015-08-31,0.0,12594.0,0.0,1127.0,25.0,784.0
2015-09-30,0.0,12770.0,0.0,1183.0,17.0,933.0
2015-10-31,0.0,14024.0,1.0,1165.0,23.0,1198.0
2015-11-30,3.0,13744.0,0.0,1289.0,16.0,1324.0
2015-12-31,3.0,14509.0,0.0,1119.0,10.0,1313.0
2016-01-31,1.0,12195.0,0.0,993.0,5.0,1215.0
2016-02-29,0.0,11821.0,1.0,989.0,6.0,1356.0
2016-03-31,0.0,12873.0,0.0,976.0,11.0,1619.0
2016-04-30,0.0,11958.0,0.0,905.0,11.0,1558.0
2016-05-31,0.0,12051.0,0.0,957.0,11.0,1639.0
2016-06-30,0.0,12194.0,0.0,914.0,13.0,1920.0
2016-07-31,0.0,12874.0,0.0,935.0,9.0,2228.0
2016-08-31,0.0,14160.0,0.0,746.0,6.0,2348.0
2016-09-30,0.0,14155.0,0.0,784.0,8.0,2485.0
2016-10-31,0.0,14988.0,0.0,932.0,13.0,2751.0
2016-11-30,2.0,14081.0,0.0,857.0,13.0,2778.0
2016-12-31,2.0,15307.0,0.0,911.0,6.0,2881.0
2017-01-31,0.0,14457.0,0.0,728.0,5.0,3076.0
2017-02-28,0.0,13628.0,0.0,591.0,7.0,2813.0
2017-03-31,0.0,14906.0,0.0,515.0,5.0,3299.0
2017-04-30,0.0,7776.0,0.0,347.0,3.0,1913.0
