status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
64067037679_10154292535322680,Can you guess the top-rated destinations in North America? Check out our list of the 50 best to see if you're right.,Top-rated vacation destinations in North America,link,http://bit.ly/2pjsABf,2017-04-15 12:00:27,,42,4,7,0,0,0,0,0,0
64067037679_10154283673132680,Lace up your hiking boots and take a ramble with Travelettes to explore Loughrigg Fell in the awe-inspiring Lake District.,Take a hike up Loughrigg Fell,link,http://bit.ly/2p8Lw2s,2017-04-12 12:01:15,,8,13,0,0,0,0,0,0,0
64067037679_10154279855522680,"Join Travelettes on a wander through the stunning Lake District, with a pick-me-up pitstop for coffee at The Wild Strawberry, Keswick.",A coffee stop in charming Keswick,link,http://bit.ly/2ooXqa7,2017-04-11 12:00:18,,33,13,3,0,0,0,0,0,0
64067037679_10154271100657680,Haven't you heard? Green is the new black. Take a peek at 20 of the most eco-friendly cities in the nation!,20 of the greenest cities in the nation,link,http://bit.ly/2oat2yI,2017-04-08 12:00:11,,76,7,11,0,0,0,0,0,0
64067037679_10154261708607680,"Get your panda on! Fly Los Angeles to Panda City- Chengdu, China with Hainan Airlines.",Fly with Hainan Airlines,link,http://bit.ly/2nYF1iG,2017-04-06 12:00:00,,204,19,21,0,0,0,0,0,0
64067037679_10154261884962680,"Head down Grey Street, Academy of Urbanism's 2010 Great Street Award winner. And check out the original Marks & Spencer's Penny Bazaar and Central Arcade! (French Kilt, l'Ecosse et tout ce qu'il y a en dessous)","Exploring Grainger Town, Newcastle",link,http://bit.ly/2nLjb1i,2017-04-05 16:00:11,,10,14,0,0,0,0,0,0,0
64067037679_10154261305222680,"Grainger Town is one of the dazzling jewels in Newcastle's crown, with classical 1830s architecture, bustling market and Theatre Royal. (French Kilt, l'Ecosse et tout ce qu'il y a en dessous)",Downtown Grainger Town,link,http://bit.ly/2nKy4AL,2017-04-05 12:00:16,,6,4,0,0,0,0,0,0,0
64067037679_10154258877617680,Stroll the streets of the St Nicholas Market with Lost in London and enjoy the quirky ambiance this old city has to offer!,See the best of Bristol,link,http://bit.ly/2nHbngQ,2017-04-04 16:00:20,,10,5,1,0,0,0,0,0,0
64067037679_10154258376572680,Enter the famed Georgian playhouse and indulge in their pre-theatre menu. Follow Teatime in Wonderland (en) as she visits the Garrick's Head Gastropub!,Discover the best of Bath,link,http://bit.ly/2n7PbR6,2017-04-04 12:00:13,,34,7,0,0,0,0,0,0,0
64067037679_10154256288212680,Join Teatime in Wonderland as she explores Brighton! Take a moment to admire the spectacular seaside palace—the Royal Pavilion.,Discover Great Britain though Brighton,link,http://bit.ly/2ouR2Pz,2017-04-03 16:05:03,,25,9,1,0,0,0,0,0,0
