status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
113408673932_10155367585588933,ICYMI: The Immortal Life of Henrietta Lacks starring Oprah Winfrey and Renée Elise Goldsberry is now streaming on HBO.,The Immortal Life of Henrietta Lacks on HBO,video,https://www.facebook.com/HBO/videos/10155367585588933/,2017-04-23 11:35:00,00:31,443,48,65,0,0,0,0,0,0
113408673932_10155367534403933,We recycle in this house. ♻,True Blood: Happy Earth Day,video,https://www.facebook.com/HBO/videos/10155367534403933/,2017-04-22 14:30:00,00:27,2232,91,204,0,0,0,0,0,0
113408673932_10155364345618933,"Tonight the world will know her name. 

The Immortal Life of Henrietta Lacks starring Oprah Winfrey and Renée Elise Goldsberry starts at 8PM on HBO.",The Immortal Life of Henrietta Lacks,video,https://www.facebook.com/HBO/videos/10155364345618933/,2017-04-22 11:30:00,01:40,3290,283,1678,0,0,0,0,0,0
113408673932_10155360156733933,,Game of Thrones,link,http://itsh.bo/2pHAkdN,2017-04-20 14:18:27,,2228,101,0,0,0,0,0,0,0
113408673932_10155359355248933,Some highly recommended streaming from HBO and Silicon Valley.,Silicon Valley 4/20,video,https://www.facebook.com/HBO/videos/10155359355248933/,2017-04-20 09:34:45,00:26,2871,279,969,0,0,0,0,0,0
113408673932_10155356133773933,"When Ellen DeGeneres texts Oprah Winfrey, big things happen. 😍",Ellen DeGeneres,video,http://ellentube.com/videos/0-3etgx0cm/,2017-04-19 14:58:12,,310,13,0,0,0,0,0,0,0
113408673932_10155351778358933,"Look who it is! 👀

The cast of The Immortal Life of Henrietta Lacks is LIVE from Oprah Winfrey's Facebook page.",Oprah Winfrey,video,https://www.facebook.com/oprahwinfrey/videos/10155253216677220/,2017-04-18 12:13:26,,157,12,1,0,0,0,0,0,0
113408673932_778610402298912,"VICE on HBO was in North Korea for one of the country's biggest holidays — and a failed ballistic missile launch. 

This is their report.",North Korea: VICE News Tonight,video,https://www.facebook.com/HBO/videos/778610402298912/,2017-04-18 09:39:00,05:40,6877,483,2031,0,0,0,0,0,0
113408673932_10155348633633933,These outtakes are too good not to share. 🙊,HBO: It's What Connects Us (BTS),video,https://www.facebook.com/HBO/videos/10155348633633933/,2017-04-17 18:35:00,00:44,2553,48,122,0,0,0,0,0,0
113408673932_10155348657003933,"Find out how Henrietta Lacks has impacted you.
 
More videos and information can be found at HenriettaLacksHBO.com",The Immortal Life of Henrietta Lacks Premieres April 22,video,https://www.facebook.com/HBO/videos/10155348657003933/,2017-04-17 14:50:07,01:36,521,28,236,0,0,0,0,0,0
113408673932_10155341492253933,"J. Cole: 4 Your Eyez Only – Mapping the story. 

Stream J. Cole's special on HBO now.",J. Cole: 4 Your Eyez Only,video,https://www.facebook.com/HBO/videos/10155341492253933/,2017-04-17 11:00:00,01:04,417,30,103,0,0,0,0,0,0
113408673932_10155337642418933,"She's making history whether you like it or not. 

Selina Meyer is back tonight when VEEP returns for its sixth season.",Veep Season 6 on HBO,video,https://www.facebook.com/HBO/videos/10155337642418933/,2017-04-16 17:35:00,01:33,702,36,39,0,0,0,0,0,0
113408673932_10155337693903933,"All the feels in one night. 😭
Join us as we say goodbye to Girls with tonight's series finale.",Girls Series Finale,video,https://www.facebook.com/HBO/videos/10155337693903933/,2017-04-16 14:35:00,00:39,1302,149,78,0,0,0,0,0,0
113408673932_10155337560743933,"We're bad guys. It's what we do.

Will Smith, Margot Robbie and Jared Leto are in Suicide Squad on HBO.",Suicide Squad on HBO,video,https://www.facebook.com/HBO/videos/10155337560743933/,2017-04-15 19:00:00,00:12,3484,113,204,0,0,0,0,0,0
113408673932_10155340653208933,"Are you ready to rock? 🎸
Tune in to the Rock and Roll Hall of Fame Induction Ceremony Saturday, April 29 at 8PM.",Rock and Roll Hall of Fame Induction Ceremony Trailer,video,https://www.facebook.com/HBO/videos/10155340653208933/,2017-04-15 12:19:15,01:06,1691,103,2159,0,0,0,0,0,0
113408673932_10155337426323933,"The Immortal Life of Henrietta Lacks premieres in 1 week.

Take a closer look at the woman behind some of today's biggest medical advancements.",The Mortal Life of Henrietta Lacks,video,https://www.facebook.com/HBO/videos/10155337426323933/,2017-04-15 11:35:00,01:35,1352,58,736,0,0,0,0,0,0
113408673932_10155337723833933,J. Cole: 4 Your Eyez Only premieres tonight at 10PM on HBO.,J. Cole: 4 Your Eyez Only,video,https://www.facebook.com/HBO/videos/10155337723833933/,2017-04-15 08:00:00,00:31,11440,1449,12371,0,0,0,0,0,0
113408673932_10155332606883933,"The Lacks family legacy lives on. 

The Immortal Life of Henrietta Lacks premieres Saturday, April 22 at 8PM on HBO.",The Immortal Life of Henrietta Lacks: The Lacks Family Legacy,video,https://www.facebook.com/HBO/videos/10155332606883933/,2017-04-13 19:00:00,02:31,1994,106,2934,0,0,0,0,0,0
113408673932_10155329795768933,"We think it's time you met Selina Meyer. 

Catch up on VEEP before the Season 6 premiere this Sunday.",Stream Veep on HBO,video,https://www.facebook.com/HBO/videos/10155329795768933/,2017-04-12 17:41:53,01:10,482,19,27,0,0,0,0,0,0
113408673932_10155325240698933,"How far was Bernie Madoff willing to go?

The Wizard Of Lies, starring Robert De Niro and Michelle Pfeiffer, premieres May 20 on HBO.",The Wizard of Lies on HBO,video,https://www.facebook.com/HBO/videos/10155325240698933/,2017-04-12 12:00:00,02:27,33842,3413,9255,0,0,0,0,0,0
113408673932_10155328611298933,HBO: It's what connects us. http://itsh.bo/HBOAhh,HBO,photo,https://www.facebook.com/HBO/photos/a.10150123889648933.318593.113408673932/10155328611298933/?type=3,2017-04-12 10:26:39,,718,17,10,0,0,0,0,0,0
113408673932_10155323830043933,"Welcome to a comedy show about the darker things in life. 

Chris Gethard: Career Suicide premieres May 6 at 10PM on HBO.",Chris Gethard​: Career Suicide,video,https://www.facebook.com/HBO/videos/10155323830043933/,2017-04-11 12:10:42,00:55,9007,380,2100,0,0,0,0,0,0
113408673932_10155318308493933,"This Passover, look behind the bookcase.",Happy Passover from Curb,video,https://www.facebook.com/HBO/videos/10155318308493933/,2017-04-10 12:25:06,00:40,2155,228,586,0,0,0,0,0,0
113408673932_10155318266988933,"Meet Julia, a new friend on Sesame Street! 🖐

Watch the full episode for free today on HBO.com.",Watch Free Episodes of HBO's Original Shows,link,http://itsh.bo/2oXDo7P,2017-04-10 10:24:21,,15690,494,3118,0,0,0,0,0,0
113408673932_10155311568613933,"Spend tonight with Lena Dunham and Pete Holmes. 

Watch Girls and Crashing starting at 10PM on HBO.",Sunday Night on HBO,video,https://www.facebook.com/HBO/videos/10155311568613933/,2017-04-09 12:27:00,00:20,368,28,8,0,0,0,0,0,0
113408673932_10155311550028933,"Join us for a Saturday movie night. 

Jonah Hill and Miles Teller star in War Dogs Movie at 8PM on HBO.",War Dogs Movie on HBO,video,https://www.facebook.com/HBO/videos/10155311550028933/,2017-04-08 17:02:00,00:34,1691,70,39,0,0,0,0,0,0
113408673932_10155311723248933,"Go behind-the-scenes of The Wizard Of Lies, the Bernie Madoff story. 
Premieres Saturday, May 20 on HBO.",The Wizard of Lies: Behind The Scenes,video,https://www.facebook.com/HBO/videos/10155311723248933/,2017-04-08 14:54:25,02:34,1432,97,188,0,0,0,0,0,0
113408673932_10155307324008933,John Oliver isn't sold on re-creating the iconic HBO intro. Let him explain why.,Last Week Tonight: It's What Connects Us (HBO),video,https://www.facebook.com/HBO/videos/10155307324008933/,2017-04-07 17:00:00,01:06,7991,353,1264,0,0,0,0,0,0
113408673932_10155307285318933,It's the sound you hear before your favorite HBO shows. 🔊,HBO: It's What Connects Us (Version 2),video,https://www.facebook.com/HBO/videos/10155307285318933/,2017-04-07 14:16:51,00:46,46916,2715,7515,0,0,0,0,0,0
113408673932_10155305833723933,HBO: It's what connects us. http://itsh.bo/HBOAhh,HBO,photo,https://www.facebook.com/HBO/photos/a.10150123889648933.318593.113408673932/10155305833723933/?type=3,2017-04-07 09:06:40,,1124,24,14,0,0,0,0,0,0
