status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
61511025427_10155000049830428,"You'll love my quick version of classic beef macaroni soup. Loaded with veggies and pasta, it's just as good as the original but without all the fuss. -Debra Baker, Greenville, North Carolina",Beef Macaroni Soup,link,http://spr.ly/61848whhj,2017-04-16 13:00:00,,402,12,259,0,0,0,0,0,0
61511025427_10154999830320428,"I remember my mom making this pie when I was growing up. I make several while I have fresh pears from the family tree, then freeze them for later. One taste tester declared it ""the best pear pie I have ever eaten."" -Paula Hoffman, Plainview, Nebraska",Coconut-Streusel Pear Pie,link,http://spr.ly/61828dZl2,2017-04-16 12:00:01,,287,2,190,0,0,0,0,0,0
61511025427_10154999672765428,Whip up a pan of these Cherry Bars in just 20 minutes with staple ingredients and pie filling.,Cherry Bars,link,http://spr.ly/61808whhE,2017-04-16 11:00:00,,536,7,311,0,0,0,0,0,0
61511025427_10154999505875428,"Headed to a get-together? We've got a creamy, hearty dish to pass that's destined to become a new crowd favorite.",Watch Us Make: Make-Ahead Hearty Six-Layer Salad,link,http://spr.ly/61878dZzV,2017-04-16 10:00:02,,404,6,224,0,0,0,0,0,0
61511025427_10154947335175428,This sheet cake is perfect for serving to a crowd. It keeps so well that you can easily prepare it a day ahead and it will stay moist. Get the recipe for Pineapple Sheet Cake: http://spr.ly/61858XTjR.,Pineapple Sheet Cake,video,https://www.facebook.com/tasteofhome/videos/10154947335175428/,2017-04-16 09:00:00,01:17,1421,23,1738,0,0,0,0,0,0
61511025427_10154999243970428,We're showing you how easy it is to make this tender pound cake that's bursting with lemony goodness.,Watch Us Make: California Lemon Pound Cake,link,http://spr.ly/61878dkxd,2017-04-16 08:09:00,,568,10,235,0,0,0,0,0,0
61511025427_10154998562350428,Love having fresh tomatoes for salads. (article via DIYEverywhere.com),The right way to plant tomatoes (and get plants up to 8 feet high),link,http://spr.ly/61828dRep,2017-04-16 02:09:00,,1634,77,1984,0,0,0,0,0,0
61511025427_10154998171780428,"Here's my tried-and-true version of scalloped potatoes. I slice them extra thin and toss them in a rich, creamy cheese sauce. Then, to make them the best ever, I sprinkle homemade bread crumbs on top that get nice and crispy in the oven. Make room for these at all your family get-togethers. -Aria Thornton, Taste of Home Prep Cook",The Best Cheesy Scalloped Potatoes,link,http://spr.ly/61818dXuD,2017-04-15 23:00:01,,465,12,280,0,0,0,0,0,0
61511025427_10154998046365428,"This comforting dessert is a wonderful way to end any meal. As a girl, I always waited eagerly for the first heavenly bite. Today, my husband likes to top his with a scoop of ice cream. -Sandra Melnychenko, Grandview, Manitoba",Old-Fashioned Rice Pudding,link,http://spr.ly/61858b66l,2017-04-15 22:00:00,,1358,22,1084,0,0,0,0,0,0
61511025427_10154997937650428,Learn how to make this delicious grab-and-go breakfast.,Watch Us Make: Overnight Oatmeal,link,http://spr.ly/61828dX80,2017-04-15 21:00:01,,300,8,115,0,0,0,0,0,0
61511025427_10154947333440428,Give your salad a tropical twist with this easy recipe. Get the recipe for Pina Colada Fruit Salad: http://spr.ly/61898kOwf.,Pina Colada Fruit Salad,video,https://www.facebook.com/tasteofhome/videos/10154947333440428/,2017-04-15 21:00:00,01:05,2043,40,2452,0,0,0,0,0,0
61511025427_10154997801780428,"Get the recipe for these soft, chewy Chocolate Cake Cookies. Click here: http://spr.ly/61898w19X.",Timeline Photos,photo,https://www.facebook.com/tasteofhome/photos/a.10150314358170428.389421.61511025427/10154997801780428/?type=3,2017-04-15 20:00:00,,389,6,186,0,0,0,0,0,0
61511025427_10154997672360428,"From a cool and creamy dessert to cookies, cheesecake and more, take a bite out of these Butterfinger-flavored recipes today!",Butterfinger Dessert Recipes,link,http://spr.ly/61808dOMY,2017-04-15 19:00:01,,460,6,204,0,0,0,0,0,0
61511025427_10154997348835428,"I created this lasagna, combining two family favorite dishes, for our family's Christmas celebration. It was extra special because my parents had just come back from a trip to Italy. -Deborah Loop, Clinton Township, Michigan",Cannelloni-Style Lasagna,link,http://spr.ly/61808wfPq,2017-04-15 17:00:00,,385,6,111,0,0,0,0,0,0
61511025427_10154997200490428,"Let's face it: April might be spring, but it's still pretty darn cold and damp. We've got plenty of spring-ish recipes with farmer's market favorites and cozy comfort foods.",Spring-ish Recipes to Make In April,link,http://spr.ly/61848dnpq,2017-04-15 16:00:02,,359,2,103,0,0,0,0,0,0
61511025427_10154996954660428,Try this Spaghetti with Italian Meatballs recipe for a hearty weeknight dinner! Get the recipe here: http://spr.ly/61818dnHZ.,Timeline Photos,photo,https://www.facebook.com/tasteofhome/photos/a.10150314358170428.389421.61511025427/10154996954660428/?type=3,2017-04-15 15:00:01,,473,7,139,0,0,0,0,0,0
61511025427_10154996885600428,We're gonna be packing this for every picnic and backyard party. Get the recipe for Macaroni Coleslaw: http://spr.ly/61828jaxQ.,Macaroni Coleslaw,video,https://www.facebook.com/tasteofhome/videos/10154996885600428/,2017-04-15 14:31:22,01:06,4764,144,7730,0,0,0,0,0,0
61511025427_10154996611945428,"If you like foods with Southwestern flair, this just might become a new favorite. Loaded with cheese, meat and beans, the layered casserole comes together in a snap. There are never any leftovers when I take this dish to potlucks. -Terri Keena, Tuscaloosa, Alabama",Taco Lasagna,link,http://spr.ly/61848b66Y,2017-04-15 13:00:00,,1319,24,1203,0,0,0,0,0,0
61511025427_10154996403170428,Curious about how to make corned beef?,How to Make Corned Beef from Scratch,link,http://spr.ly/61818dVk1,2017-04-15 12:02:01,,497,17,303,0,0,0,0,0,0
61511025427_10154996188465428,Cauliflower and carrots share the stage in this cheesy soup that's sure to warm you up.,Cauliflower Soup,link,http://spr.ly/61898b66z,2017-04-15 11:00:00,,2229,32,2133,0,0,0,0,0,0
61511025427_10154996019035428,"Chewy coconut in both the fudgy filling and the homemade pastry crust make this pie a real standout. I mix in chopped almonds for good measure! -Darlene Brenden, Salem, Oregon",Chocolate Coconut Pie with Coconut Crust,link,http://spr.ly/61848dpIK,2017-04-15 10:00:03,,1069,13,678,0,0,0,0,0,0
61511025427_10154947330425428,"We put all the sweet, nutty flavor of pecan pie in a package that feeds a crowd. 

Favorite Pecan Pie Bars Recipe: http://spr.ly/61898JPOR",Favorite Pecan Pie Bars,video,https://www.facebook.com/tasteofhome/videos/10154947330425428/,2017-04-15 09:00:00,00:59,2207,59,3147,0,0,0,0,0,0
61511025427_10154995395480428,"Corned beef, sauerkraut and toasted rye? Oh my.",Reuben 101: Learn the Basics of this Hearty Sandwich,link,http://spr.ly/61888dTLQ,2017-04-15 06:00:01,,1524,35,450,0,0,0,0,0,0
61511025427_10154995040615428,Just 3 dates! (article via RemedyDaily.com),"Here's what eating 3 dates a day can do to your liver, heart and arteries",link,http://spr.ly/61868dRjy,2017-04-15 02:08:00,,2230,89,1305,0,0,0,0,0,0
61511025427_10154994658415428,We're showing you how to make a loaded chili corn bread salad that's guaranteed to make you the most popular person at the potluck.,Watch Us Make: Chili Corn Bread Salad,link,http://spr.ly/61818dr0B,2017-04-14 23:00:02,,1167,29,1397,0,0,0,0,0,0
61511025427_10154994579440428,"I found this recipe more than five years ago and have been making it for family gatherings ever since. The coffee-flavored frosting complements the moist banana cake. -Kathy Hoffman, Topton, Pennsylvania",Potluck Banana Cake,link,http://spr.ly/61828drvn,2017-04-14 22:10:00,,1550,25,939,0,0,0,0,0,0
