status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
113408673932_10155278551338933,We can't imagine life without Carrie's tutu.,Entertainment Weekly,link,http://ew.com/tv/2017/03/30/sex-city-alternate-opening-credits/,2017-03-30 19:00:00,,410,49,0,0,0,0,0,0,0
113408673932_10154620423942734,Game of Thrones returns July 16 to HBO.,Game of Thrones Season 7: Long Walk - Official Promo (HBO),video,https://www.facebook.com/HBO/videos/10154620423942734/,2017-03-30 12:00:53,01:33,65831,12232,34973,0,0,0,0,0,0
113408673932_10155277523873933,"Challenging the norm, every step of the way. 

Bright Lights, In Vogue: The Editor's Eye and more, are now streaming.",Women Make History,video,https://www.facebook.com/HBO/videos/10155277523873933/,2017-03-30 10:00:00,00:31,386,5,23,0,0,0,0,0,0
113408673932_10155274569463933,"Is Jane going to kill Renata? Or is Renata going to kill Jane? 

David E. Kelley and Jean-Marc Vallée discuss casting Laura Dern in Big Little Lies.",Inside the Episode: Burning Love,video,https://www.facebook.com/HBO/videos/10155274569463933/,2017-03-30 09:00:01,00:57,988,120,65,0,0,0,0,0,0
113408673932_10155272056273933,"Celebrate the biggest names in rock and roll. 

The Rock & Roll Hall of Fame Induction Ceremony airs April 29 at 8:00PM on HBO.",Rock & Roll Hall of Fame Induction Ceremony,video,https://www.facebook.com/HBO/videos/10155272056273933/,2017-03-29 14:00:00,00:29,354,13,181,0,0,0,0,0,0
113408673932_756800031134032,"""Not crazy, opposite."" 

Season 4 of Silicon Valley premieres April 23 at 10:00PM on HBO.",Silicon Valley Season 4 Trailer (HBO),video,https://www.facebook.com/HBO/videos/756800031134032/,2017-03-29 12:05:11,01:54,2135,302,265,0,0,0,0,0,0
113408673932_10155272147858933,"""I don't think people really understand the impact of what HeLa has meant to our world."" - Oprah Winfrey

The cast and crew offer a closer look at 'Henrietta Lacks', April 22 at 8PM.",The Immortal Life of Henrietta Lacks: Conversations with the Cast,video,https://www.facebook.com/HBO/videos/10155272147858933/,2017-03-28 19:00:00,02:26,1234,66,600,0,0,0,0,0,0
113408673932_10155269021198933,"From HBO Documentary Films, Dwayne The Rock Johnson introduces 38 convicted felons to a new kind of boot camp.

Rock and a Hard Place premieres tonight at 10:00PM on HBO.",HBO Documentary Films,video,https://www.facebook.com/hbodocs/videos/1466276630084152/,2017-03-27 17:09:49,,708,68,0,0,0,0,0,0,0
113408673932_10155268772118933,"When 2% of the world's population disappears, what happens next? 

The Leftovers is now streaming.",The Leftovers on HBO,video,https://www.facebook.com/HBO/videos/10155268772118933/,2017-03-27 15:48:18,01:06,706,42,57,0,0,0,0,0,0
113408673932_1321153524628796,"Selina is down but not out.

VEEP premieres April 16 at 10:30PM on HBO.",Veep Season 6: Invitation To The Set (HBO),video,https://www.facebook.com/HBO/videos/1321153524628796/,2017-03-27 08:49:36,01:26,518,31,26,0,0,0,0,0,0
113408673932_10155258253938933,"Take it easy and catch-up on the first five episodes of Big Little Lies. 

A new episode premieres tonight on HBO.",,video,https://www.facebook.com/HBO/videos/10155258253938933/,2017-03-26 15:00:00,00:17,350,30,25,0,0,0,0,0,0
113408673932_10155258205303933,"Awkward dinners, off-Broadway auditions, and Sarah Silverman. 

New episodes of Big Little Lies, Girls and Crashing start tonight at 9:00PM.",Tonight on HBO,video,https://www.facebook.com/HBO/videos/10155258205303933/,2017-03-26 14:00:00,00:26,852,29,33,0,0,0,0,0,0
113408673932_10155258196743933,"We had 20 years to prepare, so did they. 

Independence Day: Resurgence starts now on HBO.",Independence Day: Resurgence,video,https://www.facebook.com/HBO/videos/10155258196743933/,2017-03-25 19:00:00,00:31,873,63,50,0,0,0,0,0,0
113408673932_10155255394248933,"""Stretching what it means to be human."" 

New episodes of Animals, VICE on HBO and Real Time with Bill Maher are available tonight.",Tonight on HBO,video,https://www.facebook.com/HBO/videos/10155255394248933/,2017-03-24 14:00:00,00:24,223,14,10,0,0,0,0,0,0
113408673932_10155258148283933,J.Cole: 4 Your Eyez Only premieres April 15 at 10:00PM.,J. Cole: 4 Your Eyez Only,video,https://www.facebook.com/HBO/videos/10155258148283933/,2017-03-24 12:38:19,01:01,347,39,69,0,0,0,0,0,0
113408673932_10155247927923933,"Getting closer to the truth, or are we?

Explore the dark secrets of Big Little Lies...",Inside the Episode: Once Bitten,video,https://www.facebook.com/HBO/videos/10155247927923933/,2017-03-23 10:00:00,00:44,775,48,42,0,0,0,0,0,0
113408673932_1159520080843666,"Donald Trump's federal budget plan proposes large funding cuts with largely negative consequences. 

Last Week Tonight with John Oliver examines the priorities of the new administration.",Federal Budget,video,https://www.facebook.com/HBO/videos/1159520080843666/,2017-03-21 08:43:49,12:05,853,66,265,0,0,0,0,0,0
113408673932_10155235332003933,"Come frolic through the meadow with us 🌸🌻🌺

It's the first day of spring.",,video,https://www.facebook.com/HBO/videos/10155235332003933/,2017-03-20 11:00:00,00:28,1896,122,145,0,0,0,0,0,0
113408673932_10155244257743933,"How we feel on Mondays.

Dive into the discussion: BigLittleLiesGroup.com",,video,https://www.facebook.com/HBO/videos/10155244257743933/,2017-03-20 09:38:42,00:12,1348,64,56,0,0,0,0,0,0
113408673932_10155235716293933,"Robert De Niro and Michelle Pfeiffer are Bernie and Ruth Madoff.

The Wizard of Lies premieres Saturday, May 20 on HBO.",The Wizard of Lies: Questions Tease,video,https://www.facebook.com/HBO/videos/10155235716293933/,2017-03-19 19:53:00,01:01,3114,285,494,0,0,0,0,0,0
113408673932_10155234277143933,"You won't believe what happens next.

New episodes of Big Little Lies, Girls and Crashing are available tonight starting at 9PM.",Tonight on HBO,video,https://www.facebook.com/HBO/videos/10155234277143933/,2017-03-19 14:00:00,00:26,506,12,21,0,0,0,0,0,0
113408673932_10155235326643933,"They're going out with a bang 💥

Ice Age: Collision Course starts now.",Ice Age: Collision Course on HBO,video,https://www.facebook.com/HBO/videos/10155235326643933/,2017-03-18 19:00:00,00:31,642,14,47,0,0,0,0,0,0
113408673932_10155235242203933,"""What we are talking about is a revolution."" 

These films and more are now available on HBO.",,video,https://www.facebook.com/HBO/videos/10155235242203933/,2017-03-17 15:04:51,00:31,281,26,27,0,0,0,0,0,0
113408673932_10155221687528933,"Get ready. 

Season 2 of Animals. premieres tonight at 11:30PM.",Animals. on HBO,video,https://www.facebook.com/HBO/videos/10155221687528933/,2017-03-17 13:00:00,00:31,290,15,25,0,0,0,0,0,0
113408673932_10155234203308933,"Happy St. Patrick's Day, however you choose to celebrate 🍀",,video,https://www.facebook.com/HBO/videos/10155234203308933/,2017-03-17 09:19:59,00:08,375,6,21,0,0,0,0,0,0
113408673932_10155231308893933,"The end is near.

The final season of The Leftovers premieres April 16 at 9:00PM.",The Leftovers,video,https://www.facebook.com/TheLeftoversHBO/videos/1879103795661040/,2017-03-16 13:40:53,,1741,187,0,0,0,0,0,0,0
113408673932_10155230530808933,"You've made it to the end of The Leftovers #7PartTrailer. 

This season, the journey will come to an end, too….or will it? Season Premiere April 16. 

The full trailer is now available on The Leftovers Facebook page.",The Leftovers #7PartTrailer,video,https://www.facebook.com/HBO/videos/10155230530808933/,2017-03-16 11:01:59,00:17,613,73,44,0,0,0,0,0,0
113408673932_10155230516053933,"A harrowing exploration of the humanitarian crisis in Syria.

Cries From Syria from HBO Documentary Films is now available on HBO.",Cries From Syria on HBO,video,https://www.facebook.com/HBO/videos/10155230516053933/,2017-03-16 10:00:00,00:23,358,1036,111,0,0,0,0,0,0
113408673932_10155227556908933,"We can't get over it either. 

David E. Kelley and Jean Marc-Vallée dive into ""that scene"" from the latest episode of Big Little Lies.",Inside the Episode: Push Comes to Shove,video,https://www.facebook.com/HBO/videos/10155227556908933/,2017-03-16 09:00:00,01:15,1809,103,235,0,0,0,0,0,0
113408673932_10155227868158933,"Science took her cells. Family reclaimed her story.
 
The Immortal Life of Henrietta Lacks, starring Oprah Winfrey and Rose Byrne, debuts April 22.",The Immortal Life of Henrietta Lacks on HBO,video,https://www.facebook.com/HBO/videos/10155227868158933/,2017-03-15 15:00:00,01:40,231973,23793,218645,0,0,0,0,0,0
113408673932_1306764566067692,"Making history whether you like it or not.

VEEP Season 6 premieres April 16 at 10:30PM on HBO.",Veep Season 6: Official Trailer (HBO),video,https://www.facebook.com/HBO/videos/1306764566067692/,2017-03-13 15:52:40,01:33,769,65,65,0,0,0,0,0,0
113408673932_1152263071569367,"The Republican health care bill could leave many Americans without affordable coverage. 

Last Week Tonight with John Oliver returns to morning cable news to explain that to Donald Trump.",American Health Care Act,video,https://www.facebook.com/HBO/videos/1152263071569367/,2017-03-13 08:46:57,18:27,1193,116,747,0,0,0,0,0,0
113408673932_10155210540788933,"Tonight on HBO...
 
New episodes of Big Little Lies, Girls and Crashing start at 9PM.",Tonight on HBO,video,https://www.facebook.com/HBO/videos/10155210540788933/,2017-03-12 18:00:00,00:24,354,24,13,0,0,0,0,0,0
113408673932_10155207138683933,"""I know every Jay-Z lyric. I only know like four bars of the 'I Have A Dream' speech"" 

Jerrod Carmichael: 8 is now available on HBO.",Jerrod Carmichael: 8 on HBO,video,https://www.facebook.com/HBO/videos/10155207138683933/,2017-03-12 07:00:00,00:31,26250,1730,6537,0,0,0,0,0,0
113408673932_10155205861033933,"Starring Seth Rogen, Zac Efron, Rose Byrne, and Chloë Grace Moretz, it's Neighborhood vs. Sisterhood. 

Neighbors 2: Sorority Rising starts now.",Neighbors 2: Sorority Rising on HBO,video,https://www.facebook.com/HBO/videos/10155205861033933/,2017-03-11 20:00:00,00:31,533,19,16,0,0,0,0,0,0
113408673932_10155211028778933,Just a friendly reminder you are losing an hour of sleep tonight.,,video,https://www.facebook.com/HBO/videos/10155211028778933/,2017-03-11 15:00:00,00:31,859,27,87,0,0,0,0,0,0
113408673932_10155201817598933,"Jerrod Carmichael: 8 premieres tonight at 10PM on HBO. 

#JerrodOnHBO",Jerrod Carmichael: 8,video,https://www.facebook.com/HBO/videos/10155201817598933/,2017-03-11 08:00:00,00:31,9697,588,2103,0,0,0,0,0,0
113408673932_10155201792453933,"He's back.

Jerrod Carmichael: 8 premieres tomorrow night at 10PM on HBO.",Jerrod Carmichael: 8,video,https://www.facebook.com/HBO/videos/10155201792453933/,2017-03-10 21:00:00,00:57,251,11,37,0,0,0,0,0,0
113408673932_10155205875393933,"What is the cast of Big Little Lies watching on HBO? 📺 

Enlightened, Mad Max: Fury Road, Six Feet Under, and more.",Big Little Lies: Playlist,video,https://www.facebook.com/HBO/videos/10155205875393933/,2017-03-10 10:00:00,04:58,348,33,49,0,0,0,0,0,0
113408673932_10155206137313933,"The great war is here. 

Game of Thrones premieres July 16.",Game of Thrones,video,https://www.facebook.com/GameOfThrones/videos/10154555382832734/,2017-03-09 15:17:11,,24822,2926,2,0,0,0,0,0,0
113408673932_10155206064853933,"We're almost there.

Head to the Game of Thrones Facebook page and comment ""FIRE"" or ""DRACARYS"" to reveal the #GoTS7 premiere date.",Game of Thrones,video,https://www.facebook.com/GameOfThrones/videos/10154556026992734/,2017-03-09 14:56:28,,2675,1025,0,0,0,0,0,0,0
113408673932_10155205978558933,"Rally the realm. 

Head to the Game of Thrones Facebook page and comment ""FIRE"" to reveal the #GoTS7 premiere date.",Game of Thrones,video,https://www.facebook.com/GameOfThrones/videos/10154555967312734/,2017-03-09 14:32:39,,1860,1119,0,0,0,0,0,0,0
113408673932_10155202253398933,"From page to screen, David E. Kelley and Jean-Marc Vallée discuss capturing Jane's past in Big Little Lies.",Inside the Episode: Living the Dream,video,https://www.facebook.com/HBO/videos/10155202253398933/,2017-03-09 10:00:00,00:59,672,28,23,0,0,0,0,0,0
113408673932_10155198652158933,"""Never surrender, never give up the fight."" 

Celebrating every woman on International Women's Day.",Women Take the Lead,video,https://www.facebook.com/HBO/videos/10155198652158933/,2017-03-08 10:00:00,00:32,696,13,61,0,0,0,0,0,0
113408673932_10155198146298933,"Can't get over Sunday night's episode of Big Little Lies?

Let's discuss: BigLittleLiesGroup.com",,status,,2017-03-07 21:06:00,,1005,118,0,0,0,0,0,0,0
113408673932_10155194474463933,"Test your HBO knowledge with HBO: The Escape: an interactive experience featuring VEEP, Silicon Valley and Game of Thrones at SXSW. 

Be the first to sign up here: HBOTheEscape.com",HBO: The Escape,video,https://www.facebook.com/HBO/videos/10155194474463933/,2017-03-06 16:35:32,00:12,436,18,20,0,0,0,0,0,0
113408673932_1144841282311546,"Tibetan Buddhists have suffered deep persecution by the Chinese government. 

John Oliver sits down with the Dalai Lama to discuss China, the conditions in Tibet, and horse milk.",Dalai Lama,video,https://www.facebook.com/HBO/videos/1144841282311546/,2017-03-06 14:35:00,18:49,700,32,206,0,0,0,0,0,0
113408673932_10155194512673933,"Test your HBO knowledge with HBO: The Escape: an interactive experience featuring VEEP, Silicon Valley, and Game of Thrones at SXSW. 

Be the first to sign up here: HBOTheEscape.com",HBO: The Escape,video,https://www.facebook.com/HBO/videos/10155194512673933/,2017-03-06 13:39:50,00:12,413,34,20,0,0,0,0,0,0
113408673932_10155179568448933,"Jerrod Carmichael is back on HBO. 

Watch the show on March 11 at 10PM.",Jerrod Carmichael: 8,video,https://www.facebook.com/HBO/videos/10155179568448933/,2017-03-06 10:09:58,00:31,17799,1054,5159,0,0,0,0,0,0
113408673932_10155185325598933,"Suicide Squad. X-Men: Apocalypse. The Legend of Tarzan.

The best new movies are on HBO.",Now Available on HBO,video,https://www.facebook.com/HBO/videos/10155185325598933/,2017-03-05 19:00:00,01:04,737,53,50,0,0,0,0,0,0
113408673932_10155185147908933,"Cancel your plans, it's Sunday night. 

New episodes of Big Little Lies, Girls, and Crashing start at 9PM.",Tonight on HBO,video,https://www.facebook.com/HBO/videos/10155185147908933/,2017-03-05 18:44:00,00:25,484,31,21,0,0,0,0,0,0
113408673932_10155185063083933,"Only the strong will survive. 

X-Men: Apocalypse starts now on HBO.",X-Men: Apocalypse on HBO,video,https://www.facebook.com/HBO/videos/10155185063083933/,2017-03-04 20:00:00,00:31,1800,58,58,0,0,0,0,0,0
113408673932_10155185376778933,Your home box office since 1972.,HBO Theatrical Open,video,https://www.facebook.com/HBO/videos/10155185376778933/,2017-03-04 19:59:00,00:49,1459,41,113,0,0,0,0,0,0
113408673932_1872961739608579,"Relive it all from the start. 

The Leftovers returns April 16 on HBO.",The Leftovers: Series Catch Up Spot,video,https://www.facebook.com/HBO/videos/1872961739608579/,2017-03-03 13:35:15,00:41,2211,217,254,0,0,0,0,0,0
113408673932_10155183631113933,"From the creators of The Wire and Treme, The Deuce premieres late this summer on HBO.",James Franco Pulls Double Duty in 'The Deuce' First Look,link,http://bit.ly/MoreTheDeuce,2017-03-03 10:00:59,,618,48,772,0,0,0,0,0,0
