status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
199098633470668_3177029419010893,The magic trick left everybody confused...,People Think They've Worked Out When DNA Changed Their Shirts On Britain's Got Talent,link,http://www.ladbible.com/entertainment/film-and-tv-someone-thinks-theyve-figured-out-when-dna-changed-shirts-on-bgt-20170416,2017-04-16 13:50:00,,113,29,4,0,0,0,0,0,0
199098633470668_3177006565679845,"""What do you need that fear for?""

- Will Smith 👏👏",Face Your Fears - Will Smith,video,https://www.facebook.com/LADbible/videos/3177006565679845/,2017-04-16 13:13:21,01:52,15900,1227,4246,0,0,0,0,0,0
199098633470668_3176963949017440,That's going to hurt...,April The Giraffe Kicks Vet In The Nuts To Protect Newborn Baby,link,http://www.ladbible.com/funny/animals-april-the-giraffe-kicks-vet-in-the-nuts-20170416,2017-04-16 12:17:11,,5854,1530,1305,0,0,0,0,0,0
199098633470668_3176921362355032,"I want one 👌

The Naughty Fork",Nutella French Toast,video,https://www.facebook.com/LADbible/videos/3176921362355032/,2017-04-16 11:34:35,00:38,13588,8231,2921,0,0,0,0,0,0
199098633470668_3176886282358540,Are Kim Jong-Un's missiles fake?,People Think Kim Jong-Un's Missiles Could Be Fake | LADbible,link,http://www.ladbible.com/more/interesting-it-looks-like-kim-jong-uns-missles-could-be-fake-20170416,2017-04-16 10:47:07,,5557,992,989,0,0,0,0,0,0
199098633470668_3176839262363242,So brutal.,Channel 5 Air Watership Down On Easter Sunday Leaving People Traumatised,link,http://www.ladbible.com/more/film-and-tv-some-sick-bastards-decided-to-put-watership-down-on-channel-5-today-20170416,2017-04-16 09:47:31,,17327,4234,3484,0,0,0,0,0,0
199098633470668_3176816702365498,My bird hates his Easter gift 😂😂,Bird Hates Easter,video,https://www.facebook.com/LADbible/videos/3176816702365498/,2017-04-16 09:20:30,00:26,20351,5855,4667,0,0,0,0,0,0
199098633470668_3176788802368288,The strikes reportedly hit a number of towns in the Hama Province.,Massive Explosions As Putin Drops 'New Type Of Bomb' In Syria,link,http://www.ladbible.com/news/news-massive-explosions-as-putin-drops-new-type-of-bomb-in-syria-20170416,2017-04-16 08:45:15,,7903,1847,1783,0,0,0,0,0,0
199098633470668_3176748155705686,"Don't travel without watching this important video 😂🌍

STOP KIDDIN' STUDIO",How To Swear In 24 Languages,video,https://www.facebook.com/LADbible/videos/3176748155705686/,2017-04-16 08:13:58,02:09,10342,3066,5001,0,0,0,0,0,0
199098633470668_3176737035706798,Shocking claims say the girl was plied with champagne and pinned down on hotel bed.,British Pop Star Investigated Over 'Rape Of 14-Year-Old Virgin',link,http://www.ladbible.com/more/uk-british-pop-star-investigated-over-rape-of-14-year-old-virgin-20170416,2017-04-16 07:43:07,,1461,236,75,0,0,0,0,0,0
